date,nombre_tweets_par_jour,nombre_mentions_engie,nombre_tweets_critiques,auteurs_uniques,%_tweets_critiques,%_mentions_engie,semaine,nombre_tweets_par_semaine,mois,nombre_tweets_par_mois,heure,nombre_tweets_par_heure
2023-11-16,1.0,1,0,1.0,0.0,100.0,,,,,,
2023-11-26,1.0,1,0,1.0,0.0,100.0,,,,,,
2023-12-21,1.0,1,1,1.0,100.0,100.0,,,,,,
2023-12-28,1.0,1,0,1.0,0.0,100.0,,,,,,
2023-12-29,4.0,4,0,3.0,0.0,100.0,,,,,,
2023-12-30,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-01-01,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-02,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-03,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-04,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-01-05,2.0,2,1,2.0,50.0,100.0,,,,,,
2024-01-06,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-08,5.0,5,0,5.0,0.0,100.0,,,,,,
2024-01-09,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-10,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-01-11,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-12,4.0,4,0,4.0,0.0,100.0,,,,,,
2024-01-13,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-01-14,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-15,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-01-16,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-17,5.0,5,0,5.0,0.0,100.0,,,,,,
2024-01-19,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-20,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-21,3.0,3,1,3.0,33.33,100.0,,,,,,
2024-01-22,2.0,2,1,2.0,50.0,100.0,,,,,,
2024-01-23,1.0,0,0,1.0,0.0,0.0,,,,,,
2024-01-24,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-01-25,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-26,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-27,3.0,3,0,1.0,0.0,100.0,,,,,,
2024-01-30,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-31,6.0,6,1,6.0,16.67,100.0,,,,,,
2024-02-01,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-02-02,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-03,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-05,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-06,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-07,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-08,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-09,4.0,4,1,4.0,25.0,100.0,,,,,,
2024-02-10,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-11,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-12,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-02-13,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-02-14,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-15,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-17,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-19,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-02-20,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-02-21,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-22,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-02-23,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-25,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-26,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-27,3.0,3,1,3.0,33.33,100.0,,,,,,
2024-02-28,8.0,8,1,7.0,12.5,100.0,,,,,,
2024-02-29,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-03-01,6.0,6,0,4.0,0.0,100.0,,,,,,
2024-03-03,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-03-04,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-03-05,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-06,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-07,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-03-08,6.0,6,0,5.0,0.0,100.0,,,,,,
2024-03-10,2.0,2,0,1.0,0.0,100.0,,,,,,
2024-03-11,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-03-12,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-13,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-14,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-15,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-18,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-19,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-03-20,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-03-21,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-22,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-23,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-25,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-03-26,2.0,2,0,1.0,0.0,100.0,,,,,,
2024-03-27,4.0,4,0,4.0,0.0,100.0,,,,,,
2024-03-28,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-03-30,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-01,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-02,4.0,4,0,3.0,0.0,100.0,,,,,,
2024-04-03,5.0,5,0,5.0,0.0,100.0,,,,,,
2024-04-04,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-04-05,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-06,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-07,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-08,3.0,3,1,3.0,33.33,100.0,,,,,,
2024-04-09,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-04-10,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-11,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-04-12,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-15,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-04-16,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-04-17,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-04-18,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-04-21,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-22,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-23,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-04-24,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-25,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-26,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-30,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-02,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-05-03,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-05-06,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-05-08,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-11,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-05-13,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-05-14,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-15,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-16,4.0,4,0,3.0,0.0,100.0,,,,,,
2024-05-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-19,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-20,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-05-21,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-22,4.0,4,0,3.0,0.0,100.0,,,,,,
2024-05-23,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-05-24,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-25,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-26,3.0,3,1,2.0,33.33,100.0,,,,,,
2024-05-28,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-29,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-05-31,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-06-03,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-05,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-06-06,4.0,4,0,4.0,0.0,100.0,,,,,,
2024-06-07,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-06-09,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-11,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-12,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-19,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-20,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-22,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-24,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-06-27,2.0,2,0,1.0,0.0,100.0,,,,,,
2024-06-28,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-01,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-02,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-04,2.0,2,1,2.0,50.0,100.0,,,,,,
2024-07-06,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-07,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-09,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-10,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-12,2.0,2,1,2.0,50.0,100.0,,,,,,
2024-07-16,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-07-17,2.0,2,1,2.0,50.0,100.0,,,,,,
2024-07-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-19,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-07-21,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-22,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-23,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-07-25,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-27,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-29,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-07-30,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-31,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-08-04,1.0,0,0,1.0,0.0,0.0,,,,,,
2024-08-05,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-08-06,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-08-08,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-08-09,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-08-10,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-08-11,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-08-13,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-08-14,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-08-20,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-08-21,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-08-23,4.0,4,0,3.0,0.0,100.0,,,,,,
2024-08-27,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-08-28,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-08-29,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-08-30,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-09-01,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-09-03,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-09-04,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-09-05,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-09-09,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-09-10,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-09-11,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-09-16,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-09-18,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-09-20,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-09-23,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-09-24,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-09-25,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-09-26,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-09-27,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-09-30,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-10-02,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-10-03,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-10-04,5.0,5,1,4.0,20.0,100.0,,,,,,
2024-10-06,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-10-07,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-10-08,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-10-09,2.0,1,0,1.0,0.0,50.0,,,,,,
2024-10-10,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-10-11,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-10-14,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-10-17,4.0,4,0,3.0,0.0,100.0,,,,,,
2024-10-18,3.0,3,1,3.0,33.33,100.0,,,,,,
2024-10-20,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-10-21,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-10-22,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-10-23,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-10-30,4.0,4,0,3.0,0.0,100.0,,,,,,
2024-10-31,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-02,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-03,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-04,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-11-05,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-06,3.0,3,1,3.0,33.33,100.0,,,,,,
2024-11-11,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-12,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-11-13,4.0,4,0,4.0,0.0,100.0,,,,,,
2024-11-14,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-15,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-17,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-18,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-11-19,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-11-20,6.0,6,0,6.0,0.0,100.0,,,,,,
2024-11-21,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-11-22,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-11-23,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-24,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-25,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-26,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-11-27,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-11-28,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-12-02,4.0,4,0,4.0,0.0,100.0,,,,,,
2024-12-03,3.0,3,1,2.0,33.33,100.0,,,,,,
2024-12-04,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-05,2.0,2,0,1.0,0.0,100.0,,,,,,
2024-12-06,3.0,3,1,3.0,33.33,100.0,,,,,,
2024-12-08,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-09,7.0,7,1,4.0,14.29,100.0,,,,,,
2024-12-10,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-12-11,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-12,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-13,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-15,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-16,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-12-17,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-12-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-20,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-23,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-24,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-26,2.0,2,0,1.0,0.0,100.0,,,,,,
2024-12-27,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-28,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-12-30,5.0,5,0,5.0,0.0,100.0,,,,,,
2025-01-01,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-01-02,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-01-06,3.0,3,0,3.0,0.0,100.0,,,,,,
2025-01-07,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-01-08,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-01-09,1.0,1,1,1.0,100.0,100.0,,,,,,
2025-01-10,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-01-12,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-01-14,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-01-15,2.0,2,1,2.0,50.0,100.0,,,,,,
2025-01-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-01-19,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-01-20,2.0,2,1,2.0,50.0,100.0,,,,,,
2025-01-21,6.0,6,0,3.0,0.0,100.0,,,,,,
2025-01-22,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-01-23,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-01-24,3.0,3,0,3.0,0.0,100.0,,,,,,
2025-01-25,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-01-28,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-01-29,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-01-30,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-01-31,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-02-03,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-02-04,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-02-10,3.0,3,0,3.0,0.0,100.0,,,,,,
2025-02-12,3.0,3,0,3.0,0.0,100.0,,,,,,
2025-02-13,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-02-17,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-02-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2025-02-19,5.0,5,1,4.0,20.0,100.0,,,,,,
2025-02-21,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-02-23,2.0,2,0,2.0,0.0,100.0,,,,,,
2025-02-24,9.0,9,0,5.0,0.0,100.0,,,,,,
2025-02-25,3.0,3,0,3.0,0.0,100.0,,,,,,
2025-02-26,3.0,3,0,3.0,0.0,100.0,,,,,,
2025-03-03,5.0,5,1,5.0,20.0,100.0,,,,,,
2025-03-04,1.0,1,0,1.0,0.0,100.0,,,,,,
,,1,0,1.0,0.0,100.0,2023-46,1.0,,,,
,,1,0,1.0,0.0,100.0,2023-48,1.0,,,,
,,1,1,1.0,100.0,100.0,2023-51,1.0,,,,
,,6,1,5.0,16.67,100.0,2023-52,6.0,,,,
,,12,1,12.0,8.33,100.0,2024-00,12.0,,,,
,,14,2,14.0,14.29,100.0,2024-01,14.0,,,,
,,10,1,10.0,10.0,100.0,2024-02,10.0,,,,
,,15,2,13.0,12.5,93.75,2024-03,16.0,,,,
,,14,1,13.0,7.14,100.0,2024-04,14.0,,,,
,,11,1,11.0,9.09,100.0,2024-05,11.0,,,,
,,11,0,11.0,0.0,100.0,2024-06,11.0,,,,
,,13,0,12.0,0.0,100.0,2024-07,13.0,,,,
,,22,2,19.0,9.09,100.0,2024-08,22.0,,,,
,,15,0,13.0,0.0,100.0,2024-09,15.0,,,,
,,11,1,10.0,9.09,100.0,2024-10,11.0,,,,
,,12,0,11.0,0.0,100.0,2024-11,12.0,,,,
,,11,0,10.0,0.0,100.0,2024-12,11.0,,,,
,,14,0,13.0,0.0,100.0,2024-13,14.0,,,,
,,10,1,10.0,10.0,100.0,2024-14,10.0,,,,
,,9,1,7.0,11.11,100.0,2024-15,9.0,,,,
,,7,0,7.0,0.0,100.0,2024-16,7.0,,,,
,,7,0,5.0,0.0,100.0,2024-17,7.0,,,,
,,5,0,5.0,0.0,100.0,2024-18,5.0,,,,
,,10,0,9.0,0.0,100.0,2024-19,10.0,,,,
,,12,0,11.0,0.0,100.0,2024-20,12.0,,,,
,,8,1,7.0,12.5,100.0,2024-21,8.0,,,,
,,10,0,9.0,0.0,100.0,2024-22,10.0,,,,
,,3,0,3.0,0.0,100.0,2024-23,3.0,,,,
,,4,0,4.0,0.0,100.0,2024-24,4.0,,,,
,,5,0,4.0,0.0,100.0,2024-25,5.0,,,,
,,5,1,5.0,20.0,100.0,2024-26,5.0,,,,
,,5,1,5.0,20.0,100.0,2024-27,5.0,,,,
,,8,1,8.0,12.5,100.0,2024-28,8.0,,,,
,,6,0,6.0,0.0,100.0,2024-29,6.0,,,,
,,4,0,4.0,0.0,100.0,2024-30,4.0,,,,
,,9,0,8.0,0.0,90.0,2024-31,10.0,,,,
,,4,0,4.0,0.0,100.0,2024-32,4.0,,,,
,,7,0,6.0,0.0,100.0,2024-33,7.0,,,,
,,7,0,7.0,0.0,100.0,2024-34,7.0,,,,
,,6,0,6.0,0.0,100.0,2024-35,6.0,,,,
,,5,0,5.0,0.0,100.0,2024-36,5.0,,,,
,,7,0,6.0,0.0,100.0,2024-37,7.0,,,,
,,5,0,4.0,0.0,100.0,2024-38,5.0,,,,
,,10,2,8.0,20.0,100.0,2024-39,10.0,,,,
,,9,0,9.0,0.0,90.0,2024-40,10.0,,,,
,,8,1,7.0,12.5,100.0,2024-41,8.0,,,,
,,8,0,8.0,0.0,100.0,2024-42,8.0,,,,
,,6,0,4.0,0.0,100.0,2024-43,6.0,,,,
,,7,1,6.0,14.29,100.0,2024-44,7.0,,,,
,,9,0,9.0,0.0,100.0,2024-45,9.0,,,,
,,18,0,18.0,0.0,100.0,2024-46,18.0,,,,
,,8,0,8.0,0.0,100.0,2024-47,8.0,,,,
,,13,2,11.0,15.38,100.0,2024-48,13.0,,,,
,,13,1,10.0,7.69,100.0,2024-49,13.0,,,,
,,7,0,7.0,0.0,100.0,2024-50,7.0,,,,
,,6,0,5.0,0.0,100.0,2024-51,6.0,,,,
,,5,0,5.0,0.0,100.0,2024-52,5.0,,,,
,,3,0,3.0,0.0,100.0,2025-00,3.0,,,,
,,8,1,8.0,12.5,100.0,2025-01,8.0,,,,
,,5,1,5.0,20.0,100.0,2025-02,5.0,,,,
,,18,1,13.0,5.56,100.0,2025-03,18.0,,,,
,,7,0,7.0,0.0,100.0,2025-04,7.0,,,,
,,3,0,3.0,0.0,100.0,2025-05,3.0,,,,
,,8,0,8.0,0.0,100.0,2025-06,8.0,,,,
,,9,1,8.0,11.11,100.0,2025-07,9.0,,,,
,,17,0,13.0,0.0,100.0,2025-08,17.0,,,,
,,6,1,6.0,16.67,100.0,2025-09,6.0,,,,
,,2,0,2.0,0.0,100.0,,,2023-11,2.0,,
,,7,2,5.0,28.57,100.0,,,2023-12,7.0,,
,,59,7,57.0,11.67,98.33,,,2024-01,60.0,,
,,57,3,51.0,5.26,100.0,,,2024-02,57.0,,
,,55,1,46.0,1.82,100.0,,,2024-03,55.0,,
,,41,2,36.0,4.88,100.0,,,2024-04,41.0,,
,,41,1,36.0,2.44,100.0,,,2024-05,41.0,,
,,22,0,20.0,0.0,100.0,,,2024-06,22.0,,
,,28,3,28.0,10.71,100.0,,,2024-07,28.0,,
,,27,0,25.0,0.0,96.43,,,2024-08,28.0,,
,,24,0,21.0,0.0,100.0,,,2024-09,24.0,,
,,39,3,32.0,7.5,97.5,,,2024-10,40.0,,
,,43,1,39.0,2.33,100.0,,,2024-11,43.0,,
,,44,3,33.0,6.82,100.0,,,2024-12,44.0,,
,,41,3,34.0,7.32,100.0,,,2025-01,41.0,,
,,37,1,31.0,2.7,100.0,,,2025-02,37.0,,
,,6,1,6.0,16.67,100.0,,,2025-03,6.0,,
,,4,0,,,,,,,,0.0,4.0
,,2,0,,,,,,,,1.0,2.0
,,1,0,,,,,,,,2.0,1.0
,,3,0,,,,,,,,3.0,3.0
,,1,0,,,,,,,,4.0,1.0
,,13,0,,,,,,,,5.0,13.0
,,17,0,,,,,,,,6.0,17.0
,,48,4,,,,,,,,7.0,48.0
,,46,4,,,,,,,,8.0,46.0
,,39,1,,,,,,,,9.0,39.0
,,52,4,,,,,,,,10.0,52.0
,,41,1,,,,,,,,11.0,41.0
,,40,0,,,,,,,,12.0,41.0
,,26,3,,,,,,,,13.0,26.0
,,43,3,,,,,,,,14.0,43.0
,,38,2,,,,,,,,15.0,38.0
,,28,0,,,,,,,,16.0,28.0
,,32,3,,,,,,,,17.0,32.0
,,23,1,,,,,,,,18.0,24.0
,,35,3,,,,,,,,19.0,36.0
,,16,1,,,,,,,,20.0,16.0
,,17,1,,,,,,,,21.0,17.0
,,5,0,,,,,,,,22.0,5.0
,,3,0,,,,,,,,23.0,3.0
